wl	n
0.753559	0.172158
0.755145	0.172396
0.756732	0.172633
0.758318	0.172868
0.759904	0.173103
0.761490	0.173336
0.763076	0.173569
0.764662	0.173800
0.766248	0.174031
0.767834	0.174260
0.769419	0.174488
0.771005	0.174715
0.772590	0.174941
0.774175	0.175166
0.775760	0.175390
0.777345	0.175613
0.778930	0.175834
0.780515	0.176055
0.782100	0.176274
0.783684	0.176493
0.785269	0.176710
0.786853	0.176926
0.788437	0.177142
0.790022	0.177356
0.791606	0.177568
0.793190	0.177780
0.794773	0.177991
0.796357	0.178201
0.797940	0.178409
0.799524	0.178617
0.801107	0.178823
0.802690	0.179028
0.804273	0.179232
0.805856	0.179435
0.807439	0.179637
0.809022	0.179838
0.810604	0.180037
0.812187	0.180236
0.813769	0.180433
0.815351	0.180630
0.816933	0.180825
0.818515	0.181019
0.820097	0.181212
0.821679	0.181404
0.823261	0.181594
0.824842	0.181784
0.826423	0.181972
0.828004	0.182159
0.829586	0.182345
0.831167	0.182530
0.832747	0.182714
0.834328	0.182897
0.835908	0.183079
0.837489	0.183259
0.839069	0.183438
0.840649	0.183617
0.842229	0.183794
0.843809	0.183970
0.845389	0.184144
0.846969	0.184318
0.848548	0.184490
0.850127	0.184662
0.851707	0.184832
0.853286	0.185001
0.854865	0.185169
0.856443	0.185336
0.858022	0.185502
0.859601	0.185667
0.861179	0.185830
0.862757	0.185993
0.864335	0.186155
0.865913	0.186317
0.867491	0.186477
0.869069	0.186636
0.870646	0.186795
0.872224	0.186953
0.873801	0.187111
0.875378	0.187267
0.876955	0.187424
0.878532	0.187579
0.880108	0.187734
0.881685	0.187889
0.883261	0.188043
0.884837	0.188197
0.886413	0.188350
0.887989	0.188503
0.889565	0.188655
0.891141	0.188808
0.892716	0.188960
0.894292	0.189112
0.895867	0.189263
0.897442	0.189415
0.899017	0.189566
0.900591	0.189717
0.902166	0.189869
0.903740	0.190020
0.905314	0.190171
0.906888	0.190322
0.908462	0.190474
0.910036	0.190625
0.911610	0.190776
0.913183	0.190928
0.914756	0.191080
0.916330	0.191232
0.917903	0.191384
0.919475	0.191537
0.921048	0.191689
0.922621	0.191842
0.924193	0.191996
0.925765	0.192150
0.927337	0.192304
0.928909	0.192459
