wl	n
0.777819	2.651
0.779475	2.657
0.781131	2.662
0.782786	2.668
0.784442	2.673
0.786098	2.679
0.787754	2.684
0.789410	2.690
0.791066	2.695
0.792721	2.701
0.794377	2.707
0.796033	2.712
0.797689	2.718
0.799345	2.723
0.801000	2.729
0.802656	2.734
0.804312	2.740
0.805968	2.746
0.807624	2.751
0.809280	2.757
0.810935	2.762
0.812591	2.768
0.814247	2.773
0.815903	2.779
0.817559	2.785
0.819215	2.790
0.820870	2.796
0.822526	2.801
0.824182	2.807
0.825838	2.813
0.827494	2.818
0.829150	2.824
0.830805	2.829
0.832461	2.835
0.834117	2.841
0.835773	2.846
0.837429	2.852
0.839085	2.857
0.840740	2.863
0.842396	2.869
0.844052	2.874
0.845708	2.880
0.847364	2.885
0.849020	2.891
0.850675	2.897
0.852331	2.902
0.853987	2.908
0.855643	2.914
0.857299	2.919
0.858954	2.925
0.860610	2.930
0.862266	2.936
0.863922	2.942
0.865578	2.947
0.867234	2.953
0.868889	2.959
0.870545	2.964
0.872201	2.970
0.873857	2.976
0.875513	2.981
0.877169	2.987
0.878824	2.993
0.880480	2.998
0.882136	3.004
0.883792	3.009
0.885448	3.015
0.887104	3.021
0.888759	3.026
0.890415	3.032
0.892071	3.038
0.893727	3.044
0.895383	3.049
0.897039	3.055
0.898694	3.061
0.900350	3.066
0.902006	3.072
0.903662	3.078
0.905318	3.083
0.906973	3.089
0.908629	3.095
0.910285	3.100
0.911941	3.106
0.913597	3.112
0.915253	3.118
0.916908	3.123
0.918564	3.129
0.920220	3.135
0.921876	3.140
0.923532	3.146
0.925188	3.152
0.926843	3.158
0.928499	3.163
0.930155	3.169
0.931811	3.175
0.933467	3.181
0.935123	3.186
0.936778	3.192
0.938434	3.198
0.940090	3.204
0.941746	3.209
0.943402	3.215
0.945058	3.221
0.946713	3.227
0.948369	3.232
0.950025	3.238
0.951681	3.244
0.953337	3.250
0.954992	3.256
0.956648	3.261
0.958304	3.267
0.959960	3.273
0.961616	3.279
0.963272	3.284
0.964927	3.290
0.966583	3.296
0.968239	3.302
0.969895	3.308
0.971551	3.314
0.973207	3.319
0.974862	3.325
0.976518	3.331
0.978174	3.337
0.979830	3.343
0.981486	3.348
0.983142	3.354
0.984797	3.360
0.986453	3.366
0.988109	3.372
0.989765	3.378
0.991421	3.384
0.993077	3.389
0.994732	3.395
0.996388	3.401
0.998044	3.407
0.999700	3.413
1.001356	3.419
1.003012	3.425
1.004667	3.430
1.006323	3.436
1.007979	3.442
1.009635	3.448
1.011291	3.454
1.012946	3.460
1.014602	3.466
1.016258	3.472
1.017914	3.478
1.019570	3.483
1.021226	3.489
1.022881	3.495
1.024537	3.501
1.026193	3.507
1.027849	3.513
1.029505	3.519
1.031161	3.525
1.032816	3.531
1.034472	3.537
1.036128	3.543
1.037784	3.549
1.039440	3.555
1.041096	3.560
1.042751	3.566
1.044407	3.572
1.046063	3.578
1.047719	3.584
1.049375	3.590
1.051031	3.596
1.052686	3.602
1.054342	3.608
1.055998	3.614
1.057654	3.620
1.059310	3.626
1.060965	3.632
1.062621	3.638
1.064277	3.644
1.065933	3.650
1.067589	3.656
1.069245	3.662
1.070900	3.668
1.072556	3.674
1.074212	3.680
1.075868	3.686
1.077524	3.692
1.079180	3.697
1.080835	3.703
1.082491	3.709
1.084147	3.715
1.085803	3.721
1.087459	3.727
1.089115	3.733
1.090770	3.739
1.092426	3.745
1.094082	3.751
1.095738	3.757
1.097394	3.763
1.099050	3.769
1.100705	3.775
1.102361	3.781
1.104017	3.787
1.105673	3.793
1.107329	3.799
1.108984	3.805
1.110640	3.811
1.112296	3.817
1.113952	3.823
1.115608	3.829
1.117264	3.835
1.118919	3.841
1.120575	3.847
1.122231	3.853
1.123887	3.859
1.125543	3.865
1.127199	3.871
1.128854	3.877
1.130510	3.883
1.132166	3.889
1.133822	3.895
1.135478	3.901
1.137134	3.907
1.138789	3.912
1.140445	3.918
1.142101	3.924
1.143757	3.930
1.145413	3.936
1.147069	3.942
1.148724	3.948
1.150380	3.954
1.152036	3.960
1.153692	3.966
1.155348	3.972
1.157004	3.978
1.158659	3.984
1.160315	3.990
1.161971	3.995
1.163627	4.001
1.165283	4.007
1.166938	4.013
1.168594	4.019
1.170250	4.025
1.171906	4.031
1.173562	4.037
1.175218	4.043
1.176873	4.048
1.178529	4.054
1.180185	4.060
1.181841	4.066
1.183497	4.072
1.185153	4.078
1.186808	4.084
1.188464	4.089
1.190120	4.095
1.191776	4.101
1.193432	4.107
1.195088	4.113
1.196743	4.118
1.198399	4.124
1.200055	4.130
1.201711	4.136
1.203367	4.142
1.205023	4.147
1.206678	4.153
1.208334	4.159
1.209990	4.165
1.211646	4.170
1.213302	4.176
1.214957	4.182
1.216613	4.188
1.218269	4.193
1.219925	4.199
1.221581	4.205
1.223237	4.210
1.224892	4.216
1.226548	4.222
1.228204	4.227
1.229860	4.233
1.231516	4.239
1.233172	4.244
1.234827	4.250
1.236483	4.255
1.238139	4.261
1.239795	4.267
1.241451	4.272
1.243107	4.278
1.244762	4.283
1.246418	4.289
1.248074	4.294
1.249730	4.300
1.251386	4.305
1.253042	4.311
1.254697	4.316
1.256353	4.322
1.258009	4.327
1.259665	4.333
1.261321	4.338
1.262976	4.344
1.264632	4.349
1.266288	4.354
1.267944	4.360
1.269600	4.365
1.271256	4.371
1.272911	4.376
1.274567	4.381
1.276223	4.387
1.277879	4.392
1.279535	4.397
1.281191	4.403
1.282846	4.408
1.284502	4.413
1.286158	4.418
1.287814	4.424
1.289470	4.429
1.291126	4.434
1.292781	4.439
1.294437	4.444
1.296093	4.450
1.297749	4.455
1.299405	4.460
1.301061	4.465
1.302716	4.470
1.304372	4.475
1.306028	4.480
1.307684	4.485
1.309340	4.490
1.310996	4.495
1.312651	4.500
1.314307	4.505
1.315963	4.510
1.317619	4.515
1.319275	4.520
1.320930	4.525
1.322586	4.530
1.324242	4.535
1.325898	4.540
1.327554	4.545
1.329210	4.549
1.330865	4.554
1.332521	4.559
1.334177	4.564
1.335833	4.569
1.337489	4.573
1.339145	4.578
1.340800	4.583
1.342456	4.587
1.344112	4.592
1.345768	4.597
1.347424	4.601
1.349080	4.606
1.350735	4.611
1.352391	4.615
1.354047	4.620
1.355703	4.624
1.357359	4.629
1.359015	4.633
1.360670	4.638
1.362326	4.642
1.363982	4.647
1.365638	4.651
1.367294	4.656
1.368949	4.660
1.370605	4.664
1.372261	4.669
1.373917	4.673
1.375573	4.677
1.377229	4.682
1.378884	4.686
1.380540	4.690
1.382196	4.694
1.383852	4.698
1.385508	4.703
1.387164	4.707
1.388819	4.711
1.390475	4.715
1.392131	4.719
1.393787	4.723
1.395443	4.727
1.397099	4.731
